"carnavalsnaam","tgn_uri"
"Spurriebuukerijk","http://vocab.getty.edu/tgn/7268450"
"Spurriezeiersland","http://vocab.getty.edu/tgn/7272178"
"Stekkegat","http://vocab.getty.edu/tgn/7265505"
"Stijlorenrijk","http://vocab.getty.edu/tgn/7006824"
"Stopnaoldenrijk","http://vocab.getty.edu/tgn/7263347"
"Streupersrijk","http://vocab.getty.edu/tgn/7268162"
"Strienedurpke","http://vocab.getty.edu/tgn/7263190"
"Strienestad","http://vocab.getty.edu/tgn/1048134"
"Striepersgat","http://vocab.getty.edu/tgn/1048173"
"Strijkersgat","http://vocab.getty.edu/tgn/7269807"
"Strijkersgat","http://vocab.getty.edu/tgn/7267557"
"Struifdonk","http://vocab.getty.edu/tgn/7272434"
"Struivendurp","http://vocab.getty.edu/tgn/1047811"
"Struivenlaand","http://vocab.getty.edu/tgn/7258711"
"t Tusriek","http://vocab.getty.edu/tgn/7273289"
"t Weppus","http://vocab.getty.edu/tgn/7273420"
"Terpersdurp","http://vocab.getty.edu/tgn/7260068"
"Teutengat","http://vocab.getty.edu/tgn/1047646"
"Theebuikenland","http://vocab.getty.edu/tgn/1047922"
"Toeterland","http://vocab.getty.edu/tgn/7262596"
"Torensjouwerslaand","http://vocab.getty.edu/tgn/7271267"
"Totdenringen","http://vocab.getty.edu/tgn/7271567"
"Tullepetaonestad","http://vocab.getty.edu/tgn/7006825"
"Turfstekerslaand","http://vocab.getty.edu/tgn/1047876"
"Uilendonck","http://vocab.getty.edu/tgn/7267572"
"Ulewappersrijk","http://vocab.getty.edu/tgn/7270242"
"Urnegat","http://vocab.getty.edu/tgn/7273888"
"Vastelaovondzotteland","http://vocab.getty.edu/tgn/1048030"
"Veenmollenrijk","http://vocab.getty.edu/tgn/7269835"
"Veldhazenrijk","http://vocab.getty.edu/tgn/7264714"
"Verkuskopperiek","http://vocab.getty.edu/tgn/7267070"
"Verrekensrijk","http://vocab.getty.edu/tgn/7264712"
"Waeverstadt","http://vocab.getty.edu/tgn/1047783"
"Waoterrattenrijk","http://vocab.getty.edu/tgn/7271559"
"Waoterrijk","http://vocab.getty.edu/tgn/7269296"
"Wetterland","http://vocab.getty.edu/tgn/7270265"
"Weversrijk","http://vocab.getty.edu/tgn/1047988"
"Wjeeldrecht","http://vocab.getty.edu/tgn/1048251"
"Wringersgat","http://vocab.getty.edu/tgn/1048062"
"Zaandhaozenlaand","http://vocab.getty.edu/tgn/7263416"
"Zaantaozelaant","http://vocab.getty.edu/tgn/7273214"
"Zandhazendurp","http://vocab.getty.edu/tgn/7006836"
"Zandkruiersland","http://vocab.getty.edu/tgn/7272394"
"Zandkruiersland","http://vocab.getty.edu/tgn/7265048"
"Zeikmeikenrijk","http://vocab.getty.edu/tgn/7006849"
"Zeuvebultelaand","http://vocab.getty.edu/tgn/1048269"
"Zwaajgat","http://vocab.getty.edu/tgn/7264176"
"Zwammegat","http://vocab.getty.edu/tgn/7271121"
"Zwetsgat","http://vocab.getty.edu/tgn/7261174"
