"id","plaatsnaam_in_bron","plaatsnaam","eerste_jaar_min","eerste_jaar_max","laatste_jaar_min","laatste_jaar_max","aantal","tgn_uri","gn_uri","land","lat","lon"
"2078","Liesel","Liessel","1521","1522","1521","1522","1","http://vocab.getty.edu/tgn/7264450","http://www.geonames.org/2751623","Netherlands","51.413333","5.820833"
"2079","Lieshaut","Lieshout","1524","1525","1530","1531","4","http://vocab.getty.edu/tgn/1047916","http://www.geonames.org/2751627","Netherlands","51.5375","5.594444"
"2080","Lieshoudt","Lieshout","1536","1537","1538","1539","3","http://vocab.getty.edu/tgn/1047916","http://www.geonames.org/2751627","Netherlands","51.5375","5.594444"
"2081","Lieshout","Lieshout","1427","1428","1574","1575","79","http://vocab.getty.edu/tgn/1047916","http://www.geonames.org/2751627","Netherlands","51.5375","5.594444"
"2082","Lieshout in den Peel","Lieshout","1526","1527","1526","1527","3","http://vocab.getty.edu/tgn/1047916","http://www.geonames.org/2751627","Netherlands","51.5375","5.594444"
"4057","Kempelant","Kempenland","1474","1475","1474","1475","1",,,,"0","0"
"2084","Liesset","Lieshout","1503","1504","1503","1504","1","http://vocab.getty.edu/tgn/1047916","http://www.geonames.org/2751627","Netherlands","51.5375","5.594444"
"2085","Lijmde","Liempde","1524","1525","1524","1525","1","http://vocab.getty.edu/tgn/7264344","http://www.geonames.org/2751645","Netherlands","51.569167","5.372222"
"2086","Lijt","Lith","1523","1524","1524","1525","2","http://vocab.getty.edu/tgn/7264714","http://www.geonames.org/2751543","Netherlands","51.805833","5.438889"
"2087","Lille","Rijssel","1348","1349","1510","1511","2",,,,"0","0"
"4056","vuyt Borselen","Borsele","1486","1487","1486","1487","1",,"http://www.geonames.org/2758587","Netherlands","51.423333","3.734722"
"2089","Lishout","Lieshout","1525","1526","1525","1526","1","http://vocab.getty.edu/tgn/1047916","http://www.geonames.org/2751627","Netherlands","51.5375","5.594444"
"2090","Lit","Lith","1424","1425","1542","1543","20","http://vocab.getty.edu/tgn/7264714","http://www.geonames.org/2751543","Netherlands","51.805833","5.438889"
"2091","Lith","Lith","1514","1515","1572","1573","30","http://vocab.getty.edu/tgn/7264714","http://www.geonames.org/2751543","Netherlands","51.805833","5.438889"
