"id","hgid","naam","gg_uri","gg_uri_amco","amco","cbscode","geonames","startjaar","eindjaar","provincie","departement","absorbed","absorbedBy","originated","originatedFrom"
"1444","Oploo","Oploo","http://www.gemeentegeschiedenis.nl/gemeentenaam/Oploo","http://www.gemeentegeschiedenis.nl/amco/10110",,,,"oudsher","1821","http://www.gemeentegeschiedenis.nl/provincie/Noord-Brabant","http://www.gemeentegeschiedenis.nl/departement/MR",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Oploo__Sint_Anthonis_en_Ledeacker",,
"1445","Oploo__Sint_Anthonis_en_Ledeacker","Oploo, Sint Anthonis en Ledeacker","http://www.gemeentegeschiedenis.nl/gemeentenaam/Oploo__Sint_Anthonis_en_Ledeacker","http://www.gemeentegeschiedenis.nl/amco/11415",,"0827",,"1821","1994","http://www.gemeentegeschiedenis.nl/provincie/Noord-Brabant",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Sambeek","http://www.gemeentegeschiedenis.nl/gemeentenaam/St.Anthonis",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Sint_Anthonis_en_Ledeacker"
"1446","Oss","Oss","http://www.gemeentegeschiedenis.nl/gemeentenaam/Oss","http://www.gemeentegeschiedenis.nl/amco/10834",,"0828","http://sws.geonames.org/2749233","oudsher","heden","http://www.gemeentegeschiedenis.nl/provincie/Noord-Brabant","http://www.gemeentegeschiedenis.nl/departement/MR","http://www.gemeentegeschiedenis.nl/gemeentenaam/Ravenstein",,,
"1447","Ossendrecht","Ossendrecht","http://www.gemeentegeschiedenis.nl/gemeentenaam/Ossendrecht","http://www.gemeentegeschiedenis.nl/amco/10929",,"0829",,"oudsher","1997","http://www.gemeentegeschiedenis.nl/provincie/Noord-Brabant","http://www.gemeentegeschiedenis.nl/departement/TN",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Woensdrecht",,
"1448","Oudenbosch","Oudenbosch","http://www.gemeentegeschiedenis.nl/gemeentenaam/Oudenbosch","http://www.gemeentegeschiedenis.nl/amco/10397",,"0830",,"oudsher","1997","http://www.gemeentegeschiedenis.nl/provincie/Noord-Brabant","http://www.gemeentegeschiedenis.nl/departement/TN",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Halderberge",,
"1449","Oud-_en_Nieuw-Gastel","Oud- en Nieuw-Gastel","http://www.gemeentegeschiedenis.nl/gemeentenaam/Oud-_en_Nieuw-Gastel","http://www.gemeentegeschiedenis.nl/amco/11363",,"0831",,"oudsher","1997","http://www.gemeentegeschiedenis.nl/provincie/Noord-Brabant","http://www.gemeentegeschiedenis.nl/departement/TN",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Halderberge",,
"1450","Oudheusden","Oudheusden","http://www.gemeentegeschiedenis.nl/gemeentenaam/Oudheusden","http://www.gemeentegeschiedenis.nl/amco/10812",,"1145",,"oudsher","1935","http://www.gemeentegeschiedenis.nl/provincie/Noord-Brabant","http://www.gemeentegeschiedenis.nl/departement/MR",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Drunen",,
"1451","Princenhage","Princenhage","http://www.gemeentegeschiedenis.nl/gemeentenaam/Princenhage","http://www.gemeentegeschiedenis.nl/amco/10762",,"1156",,"1819","1942","http://www.gemeentegeschiedenis.nl/provincie/Noord-Brabant",,,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Breda",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Haage"
"1452","Prinsenbeek","Prinsenbeek","http://www.gemeentegeschiedenis.nl/gemeentenaam/Prinsenbeek","http://www.gemeentegeschiedenis.nl/amco/11354",,"0832",,"1951","1997","http://www.gemeentegeschiedenis.nl/provincie/Noord-Brabant",,,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Breda",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Beek_NB"
"1453","Putte","Putte","http://www.gemeentegeschiedenis.nl/gemeentenaam/Putte","http://www.gemeentegeschiedenis.nl/amco/10099",,"0833",,"oudsher","1997","http://www.gemeentegeschiedenis.nl/provincie/Noord-Brabant","http://www.gemeentegeschiedenis.nl/departement/TN",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Woensdrecht",,
"1454","Raamsdonk","Raamsdonk","http://www.gemeentegeschiedenis.nl/gemeentenaam/Raamsdonk","http://www.gemeentegeschiedenis.nl/amco/11391",,"0834",,"oudsher","1997","http://www.gemeentegeschiedenis.nl/provincie/Noord-Brabant","http://www.gemeentegeschiedenis.nl/departement/MR",,"http://www.gemeentegeschiedenis.nl/gemeentenaam/Geertruidenberg",,
