"id","plaats_in_bron","plaats","start","eind","aantal","geonames","kloekeCode"
469,"Maccum","Makkum",1647,1794,124,"http://sws.geonames.org/2751254","B106p"
470,"Maarsen","Maarssen",1680,1785,124,"http://sws.geonames.org/2751316","E189p"
473,"Berkel","Berkel",1690,1793,123,"http://sws.geonames.org/2759089","K008p"
476,"Melle","Melle",1681,1793,123,"http://sws.geonames.org/2750969",""
483,"Doesburgh","Doesburg",1643,1791,121,"http://sws.geonames.org/2756772","F204p"
485,"Onna","Onna",1646,1789,121,"http://sws.geonames.org/2749589","F060b"
494,"Rosendaal","Roosendaal",1680,1792,118,"http://sws.geonames.org/2747930","K174p"
497,"Crommenie","Krommenie",1694,1793,117,"http://sws.geonames.org/2752240","E067p"
500,"Elburgh","Elburg",1645,1792,116,"http://sws.geonames.org/2756232","F100p"
501,"Bruggen","Bruggen",1677,1791,116,"http://sws.geonames.org/2758201",""
502,"Vollenhoven","Vollenhove",1685,1793,116,"http://sws.geonames.org/2745333","F066p"
505,"Tergoes","Goes",1693,1792,115,"http://sws.geonames.org/2755476","I069p"
508,"Amersvoort","Amersfoort",1687,1792,114,"http://sws.geonames.org/2759821","F165p"
510,"Voorburg","Voorburg",1683,1793,113,"http://sws.geonames.org/2745321",""
516,"Helvoetsluijs","Hellevoetsluis",1683,1793,112,"http://sws.geonames.org/2754454","I021p"
517,"Gorinchem","Gorinchem",1700,1792,112,"http://sws.geonames.org/2755434","K099p"
518,"Nieuwpoort","Nieuwpoort",1693,1794,111,"http://sws.geonames.org/2750146","K025p"
519,"Slooten","Sloten",1674,1793,111,"http://sws.geonames.org/2747132","E103p"
525,"Schagen","Schagen",1635,1793,109,"http://sws.geonames.org/2747720","E009p"
528,"Schage","Schagen",1661,1793,108,"http://sws.geonames.org/2747720","E009p"
532,"De lemmer","Lemmer",1691,1792,108,"http://sws.geonames.org/2751729","F038p"
536,"Heereveen","Heerenveen",1661,1793,107,"http://sws.geonames.org/2754669","F013p"
545,"Vere","Veere",1684,1792,105,"http://sws.geonames.org/2745739","I066p"
546,"Ouwater","Oudewater",1649,1783,105,"http://sws.geonames.org/2748979","E215p"
554,"Wensveen","Waddinxveen",1682,1791,104,"http://sws.geonames.org/2745096","E207p"
555,"Kuijlenburg","Culemborg",1687,1792,104,"http://sws.geonames.org/2757872","K039p"
560,"Geertruijdenberg","Geertruidenberg",1682,1792,102,"http://sws.geonames.org/2755669","K129p"
563,"Noorden","Noorden",1635,1791,101,"http://sws.geonames.org/2749964",""
566,"Bodegrave","Bodegraven",1680,1790,101,"http://sws.geonames.org/2758765","E180p"
567,"Buuren","Buren",1696,1791,101,"http://sws.geonames.org/2758097","L040p"
570,"De jouwer","De Jouwer",1681,1792,101,"http://sws.geonames.org/2757471",""
571,"Medenblick","Medemblik",1636,1776,100,"http://sws.geonames.org/2751073","E014p"
576,"Beverwijk","Beverwijk",1643,1794,99,"http://sws.geonames.org/2758998","E079p"
579,"Zurig","Zurich",1699,1793,99,"http://sws.geonames.org/2743611","B079p"
580,"Domburg","Domburg",1699,1793,99,"http://sws.geonames.org/2756746","I060p"
