id,pid,"pleiades_id","pleiades_place_id","nameTransliterated","geoContext","geonames","maxDate","minDate","reprLat","reprLong","featureTypes","creators"
38,99663,"http://pleiades.stoa.org/places/99663/drusiana-fossa","http://pleiades.stoa.org/places/99663","Drusiana Fossa","between IJssel and R. Rhine",NULL,"300.0","-30.0","51.95","5.966667","canal","J.H.F. Bloemers"
39,108722,"http://pleiades.stoa.org/places/108722/aardenburg","http://pleiades.stoa.org/places/108722","Aardenburg","Aardenburg, NET","http://sws.geonames.org/2760096","2100.0","1700.0","51.2731115","3.445741","settlement","jahlfeldt"
40,108747,"http://pleiades.stoa.org/places/108747/antwerpen","http://pleiades.stoa.org/places/108747","Antwerpen","Anvers, BGM","http://sws.geonames.org/2803138","2100.0","1700.0","51.219718","4.399272","settlement","jahlfeldt"
41,108749,"http://pleiades.stoa.org/places/108749/aachen","http://pleiades.stoa.org/places/108749","Aachen","Aachen GER","http://sws.geonames.org/3247449","2100.0","1700.0","50.775417","6.083889","settlement","jahlfeldt"
42,108749,"http://pleiades.stoa.org/places/108749/aquae-granni","http://pleiades.stoa.org/places/108749","Aquae Granni","Aachen GER","http://sws.geonames.org/3247449","640.0","-30.0","50.775417","6.083889","settlement","C. Haselgrove, J. Kunow"
43,108751,"http://pleiades.stoa.org/places/108751/cologne","http://pleiades.stoa.org/places/108751","Cologne","Köln GER","http://sws.geonames.org/2886242","2100.0","1700.0","50.940662","6.9599065","settlement","mimno"
44,108751,"http://pleiades.stoa.org/places/108751/koeln","http://pleiades.stoa.org/places/108751","Köln","Köln GER","http://sws.geonames.org/2886242","2100.0","1700.0","50.940662","6.9599065","settlement","jahlfeldt"
45,108751,"http://pleiades.stoa.org/places/108751/ara-ubiorum","http://pleiades.stoa.org/places/108751","Ara Ubiorum","Köln GER","http://sws.geonames.org/2886242","300.0","-30.0","50.940662","6.9599065","settlement","C. Haselgrove, J. Kunow"
46,108751,"http://pleiades.stoa.org/places/108751/col-claudia-ara-agrippinensium","http://pleiades.stoa.org/places/108751","Col. Claudia Ara Agrippinensium","Köln GER","http://sws.geonames.org/2886242","640.0","-30.0","50.940662","6.9599065","settlement","C. Haselgrove, J. Kunow"
47,108761,"http://pleiades.stoa.org/places/108761/asberg","http://pleiades.stoa.org/places/108761","Asberg","Moers-Asberg GER","http://sws.geonames.org/2955292","2100.0","1700.0","51.431667","6.67","fort","jahlfeldt"
48,108761,"http://pleiades.stoa.org/places/108761/asciburgium","http://pleiades.stoa.org/places/108761","Asciburgium","Moers-Asberg GER","http://sws.geonames.org/2955292","640.0","-30.0","51.431667","6.67","fort","C. Haselgrove, J. Kunow"
49,108762,"http://pleiades.stoa.org/places/108762/asse","http://pleiades.stoa.org/places/108762","Asse","Asse, BGM","http://sws.geonames.org/2803033","2100.0","1700.0","50.910518","4.199997","fort","jahlfeldt"
50,108765,"http://pleiades.stoa.org/places/108765/atuatuca-tungrorum","http://pleiades.stoa.org/places/108765","Atuatuca Tungrorum","Tongres BGM","http://sws.geonames.org/2785389","640.0","-30.0","50.780857","5.464831","settlement, temple","fdeblauwe"
51,108765,"http://pleiades.stoa.org/places/108765/copy_of_atuatuca","http://pleiades.stoa.org/places/108765","Atuatuca","Tongres BGM","http://sws.geonames.org/2785389","640.0","-330.0","50.780857","5.464831","settlement, temple","C. Haselgrove, J. Kunow"
52,108765,"http://pleiades.stoa.org/places/108765/atuatuca","http://pleiades.stoa.org/places/108765","Atuatuca","Tongres BGM","http://sws.geonames.org/2785389","640.0","-330.0","50.780857","5.464831","settlement, temple","C. Haselgrove, J. Kunow"
53,108765,"http://pleiades.stoa.org/places/108765/tongeren","http://pleiades.stoa.org/places/108765","Tongeren","Tongres BGM","http://sws.geonames.org/2785389","2100.0","1700.0","50.780857","5.464831","settlement, temple","fdeblauwe"
54,108765,"http://pleiades.stoa.org/places/108765/tongres","http://pleiades.stoa.org/places/108765","Tongres","Tongres BGM","http://sws.geonames.org/2785389","2100.0","1700.0","50.780857","5.464831","settlement, temple","fdeblauwe"
55,108765,"http://pleiades.stoa.org/places/108765/copy_of_tongeren","http://pleiades.stoa.org/places/108765","Tongeren","Tongres BGM","http://sws.geonames.org/2785389","2100.0","1700.0","50.780857","5.464831","settlement, temple","jahlfeldt"
56,108811,"http://pleiades.stoa.org/places/108811/blariacum","http://pleiades.stoa.org/places/108811","Blariacum","Blerick NET","http://sws.geonames.org/2758831","640.0","-30.0","51.362853","6.148","settlement","C. Haselgrove, J. Kunow"
57,108837,"http://pleiades.stoa.org/places/108837/burginatium","http://pleiades.stoa.org/places/108837","Burginatium","Kalkar-Altkalkar GER",NULL,"640.0","-30.0","51.713889","6.318889","fort","C. Haselgrove, J. Kunow"
