"id","geb_plaats_bron","geb_plaats_huidig","eerste_jaar","laatste_jaar","lat","lon","adm1","aantal","gn_uri","tgn_uri"
"899","Gorchum","Gorinchem","1587","1594","51.8333333","4.9666667","ZH","7",,"http://vocab.getty.edu/tgn/1047795"
"900","gorckem","Gorinchem","1538","1538","51.8333333","4.9666667","ZH","1",,"http://vocab.getty.edu/tgn/1047795"
"901","Gorckum","Gorinchem","1549","1595","51.8333333","4.9666667","ZH","3",,"http://vocab.getty.edu/tgn/1047795"
"902","gorcom","Gorinchem","1539","1543","51.8333333","4.9666667","ZH","3",,"http://vocab.getty.edu/tgn/1047795"
"903","gorcum","Gorinchem","1543","1652","51.8333333","4.9666667","ZH","19",,"http://vocab.getty.edu/tgn/1047795"
"904","gorichum","Gorinchem","1647","1647","51.8333333","4.9666667","ZH","1",,"http://vocab.getty.edu/tgn/1047795"
"905","gorinchem","Gorinchem","1544","1638","51.8333333","4.9666667","ZH","4",,"http://vocab.getty.edu/tgn/1047795"
"906","gorkem","Gorinchem","1491","1491","51.8333333","4.9666667","ZH","1",,"http://vocab.getty.edu/tgn/1047795"
"907","gorkum","Gorinchem","1542","1594","51.8333333","4.9666667","ZH","5",,"http://vocab.getty.edu/tgn/1047795"
"908","gorsele","Gorssel","1597","1643","52.2","6.2","GE","2",,"http://vocab.getty.edu/tgn/7260156"
"909","gorssel","Gorssel","1651","1651","52.2","6.2","GE","1",,"http://vocab.getty.edu/tgn/7260156"
"910","gorstell","Gorssel","1581","1598","52.2","6.2","GE","4",,"http://vocab.getty.edu/tgn/7260156"
"911","gouda","Gouda","1539","1638","52.0166667","4.7","ZH","13",,"http://vocab.getty.edu/tgn/7006805"
"912","goude","Gouda","1486","1650","52.0166667","4.7","ZH","21",,"http://vocab.getty.edu/tgn/7006805"
"913","goudenrack","Gouderak","1599","1599","51.9833333","4.6833333","ZH","1",,"http://vocab.getty.edu/tgn/7260138"
"914","gouderak","Gouderak","1584","1651","51.9833333","4.6833333","ZH","11",,"http://vocab.getty.edu/tgn/7260138"
"915","goudriaen, vuyt","Goudriaan","1636","1636","51.9","4.9","ZH","1",,"http://vocab.getty.edu/tgn/7260133"
"916","goutens","Goutum","1590","1590","53.1833333","5.8","FR","1",,"http://vocab.getty.edu/tgn/7260342"
"917","goutum","Goutum","1586","1654","53.1833333","5.8","FR","6",,"http://vocab.getty.edu/tgn/7260342"
"918","goutum bij leuwarden","Goutum","1654","1654","53.1833333","5.8","FR","1",,"http://vocab.getty.edu/tgn/7260342"
"919","gouw","Gouda","1593","1637","52.0166667","4.7","ZH","2",,"http://vocab.getty.edu/tgn/7006805"
"920","gouwe","Gouda","1541","1541","52.0166667","4.7","ZH","1",,"http://vocab.getty.edu/tgn/7006805"
"921","gow","Gauw","1549","1549","53.0666667","5.7166667","FR","1",,"http://vocab.getty.edu/tgn/7261690"
"922","goynga","Goënga","1586","1640","53.05","5.7","FR","2","http://sws.geonames.org/2755482",
"923","goynge","Goënga","1588","1649","53.05","5.7","FR","2","http://sws.geonames.org/2755482",
"924","goyngerijp","Goingarijp","1598","1598","53.0166667","5.7666667","FR","1",,"http://vocab.getty.edu/tgn/7263469"
