"id","kloeke_nieuw","kloeke_uri","naam","kloeke_oud","sameConceptAs","ligt_in_uri","lat","lon"
"2505","K180p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K180p","Rijsbergen","K 180","http://sws.geonames.org/2748091","http://vocab.getty.edu/tgn/7003624","51.5182377111","4.70553911886"
"2506","K180z","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K180z","Hazeldonk","K 180z","http://sws.geonames.org/2754733","http://vocab.getty.edu/tgn/7003624","51.5069267716","4.74467208506"
"2507","K181a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K181a","Dassemus","K 181a","http://sws.geonames.org/2757826","http://vocab.getty.edu/tgn/7003624","51.5206004316","4.86189355318"
"2508","K181p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K181p","Chaam","K 181","http://sws.geonames.org/2757969","http://vocab.getty.edu/tgn/7003624","51.5066428227","4.87653074174"
"2509","K182a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K182a","Molenschot","K 182a","http://sws.geonames.org/2750666","http://vocab.getty.edu/tgn/7003624","51.576206824","4.89326167478"
"2510","K182b","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K182b","Hulten","K 182b","http://sws.geonames.org/2753430","http://vocab.getty.edu/tgn/7003624","51.5678003188","4.97637378449"
"2511","K182p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K182p","Gilze","K 182","http://sws.geonames.org/2755507","http://vocab.getty.edu/tgn/7003624","51.5406101049","4.95413269589"
"2512","K183a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K183a","Korvel","K 183a",,"http://vocab.getty.edu/tgn/7003624","51.5494102277","5.07553005383"
"2513","K183b","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K183b","Enschot","K 183b","http://sws.geonames.org/2756069","http://vocab.getty.edu/tgn/7003624","51.5801115835","5.14185721174"
"2514","K183c","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K183c","Hasselt","K 183c",,"http://vocab.getty.edu/tgn/7003624","51.57963183","5.0728267598"
"2515","K183p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K183p","Tilburg","K 183","http://sws.geonames.org/2746301","http://vocab.getty.edu/tgn/7003624","51.565343467","5.09142964515"
"2516","K184a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K184a","Riel","K 184a","http://sws.geonames.org/2748164","http://vocab.getty.edu/tgn/7003624","51.5249874097","5.03422647127"
"2517","K184b","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K184b","Biest","K 184b","http://sws.geonames.org/2758969","http://vocab.getty.edu/tgn/7003624","51.5143808706","5.15669001235"
"2518","K184c","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K184c","Houtakker","K 184c","http://sws.geonames.org/2753565","http://vocab.getty.edu/tgn/7003624","51.5030467484","5.10381765033"
"2519","K184p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K184p","Goirle","K 184","http://sws.geonames.org/2755464","http://vocab.getty.edu/tgn/7003624","51.5241543682","5.06970885185"
"2520","K185p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K185p","Oisterwijk","K 185","http://sws.geonames.org/2749680","http://vocab.getty.edu/tgn/7003624","51.5833594875","5.21387927192"
"2521","K186p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K186p","Moergestel","K 186","http://sws.geonames.org/2750766","http://vocab.getty.edu/tgn/7003624","51.5443642257","5.18953561379"
"2522","K187a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K187a","Spoordonk","K 187a","http://sws.geonames.org/2746907","http://vocab.getty.edu/tgn/7003624","51.5201727325","5.27557029911"
"2523","K187p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K187p","Oirschot","K 187","http://sws.geonames.org/2749683","http://vocab.getty.edu/tgn/7003624","51.5055566522","5.32256120213"
