"id","kloeke_nieuw","kloeke_uri","altname"
"217","F013a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=F013a","It Oranjewald"
"218","F013c","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=F013c","Aldehaske"
"219","F014p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=F014p","Sint Jansgea"
"220","F016p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=F016p","Nijeskoat"
"221","F017p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=F017p","Aldeskoat"
"222","F018p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=F018p","Langsweagen"
"223","F019b","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=F019b","Ketlik"
"224","F019i","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=F019i","De Bontebok"
"225","F019p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=F019p","Aldehoarne"
"226","F020a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=F020a","Koartsweagen"
"227","F020p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=F020p","Jobbegea Skuorregea"
"228","F021p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=F021p","Aldeberkeap"
"229","F021q","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=F021q","Sanhuzen"
"230","F022a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=F022a","Nijeberkeap"
"231","F022p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=F022p","Makkingea"
"232","F023p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=F023p","Easterwalde"
"233","F025p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=F025p","Ald Appelskea"
"234","F025q","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=F025q","Langedike"
"235","F027p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=F027p","Molkwar"
"236","F029a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=F029a","Bakhuzen"
"237","F029p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=F029p","Himmelum"
"238","F030p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=F030p","Murns"
"239","F031p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=F031p","Aldegea"
"240","F032p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=F032p","Nijegea"
"241","F035p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=F035p","Sleat"
"242","F036b","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=F036b","Nijemardum"
"243","F036p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=F036p","Aldemardum"
"244","F036q","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=F036q","Riis"
"245","F037p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=F037p","Teakesyl"
"246","F038z","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=F038z","Bantgea"
"247","F039a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=F039a","Tsjerkgaest"
"248","F039p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=F039p","Easterse"
"249","F040a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=F040a","Follegea"
"250","F040b","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=F040b","Dunegea"
"251","F040c","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=F040c","Ychtenbrege"
"252","F040p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=F040p","Ychten"
"253","F041a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=F041a","Delfsterhuzen"
"254","F041b","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=F041b","Muntsebuorren"
"255","F041k","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=F041k","Aldetrine"
"256","F041p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=F041p","Rotstergaest"
"257","F042a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=F042a","Nijelemmer"
"258","F042b","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=F042b","Aldelemmer"
"259","F043a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=F043a","Teridzert"
"260","F043b","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=F043b","Aldeholtpea"
"261","F043h","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=F043h","Aldeholtwalde"
"262","F045p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=F045p","Pipergea"
"263","F046a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=F046a","Finkegea"
"264","F047a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=F047a","Wilhelmina s Oard"
"265","F048p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=F048p","Buil"
"266","F052a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=F052a","Slikenboarch"
"267","F054p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=F054p","Spangea"
"268","F059c","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=F059c","Blesdike"
"269","F074a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=F074a","Hesselingen  Indu.Terrein"
"270","G001a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=G001a","De Fochtel"
"271","G001b","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=G001b","Appelskea"
"272","G001c","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=G001c","Ravenswald"
"273","G050j","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=G050j"," "
"274","G229p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=G229p","Boekelo Gem. Haaksbergen"
"275","G231p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=G231p","Boekelo Gem. Enschede"
"276","H002a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=H002a","Het-Zoute"
"277","H073p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=H073p","Saint-Pol-Sur-Mer"
"278","H074a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=H074a","Malo-Les-Bains"
